,date,tweet,likeCount,Bank,User,Subjectivity,Polarity,Analysis,cleaned_words
1373,2023-05-27 21:43:22+00:00,access bank idris uthmani have tried boss always active with you,0,Access Bank,idris_uthman,0.6,-0.13333333333333333,Negative,access bank idris uthmani tried boss always active
1374,2023-05-27 21:42:06+00:00,akhimien  precious  agbontean  access bank lost all hope,0,Access Bank,POMJOP,1.0,0.5,Positive,akhimien precious agbontean access bank lost hope
1375,2023-05-27 21:37:03+00:00,im available abeg pick meaccess bankmacanthony,0,Access Bank,nna_emek,0.4,0.4,Positive,available abeg pick meaccess bankmacanthony
1376,2023-05-27 21:34:27+00:00,naira paymentaccount number bank name access bank plcaccount name shekinah christian family gospel ministryinternational paymentsusd access bankaccount name philip cephas abaya,0,Access Bank,Apostlephilipc,0.0,0.0,Neutral,naira paymentaccount number bank name access bank plcaccount name shekinah christian family gospel ministryinternational paymentsusd access bankaccount name philip cephas abaya
1377,2023-05-27 21:34:13+00:00,please freeze this account for immediate investigation siyaka sulebank name access bankaccount number the person hacked a friend whatsapp and has been requesting money in sum of k to k from the contacts evidence attached,1,Access Bank,bunmixworldz,0.0,0.0,Neutral,please freeze account immediate investigation siyaka sulebank name access bankaccount number person hacked friend whatsapp requesting money sum k k contacts evidence attached
1378,2023-05-29 22:39:08+00:00,im one of ur big fans please dont pass me by fidelity bank name ekerete david samuel,0,Fidelity Bank,david_ekerete,0.1,0.0,Neutral,ur big fans please pass fidelity bank name ekerete david samuel
1380,2023-05-29 22:24:46+00:00,tinubu picture will be hang at fidelity bank and hero beer office  no this and have peace of mind,0,Fidelity Bank,ismaeel83,0.0,0.0,Neutral,tinubu picture hang fidelity bank hero beer office peace mind
1381,2023-05-29 22:08:06+00:00,ok sirhere is my account number  fidelity bankthank you  and god bless,1,Fidelity Bank,VictorB31274661,0.5,0.5,Positive,ok sirhere account number fidelity bankthank god bless
1382,2023-05-29 21:12:38+00:00,boss pls help ur by with anything to buy food stuff at homegod bless you  idowu ezekiel fidelity bank,0,Fidelity Bank,daicey4real,0.0,0.0,Neutral,boss pls help ur anything buy food stuff homegod bless idowu ezekiel fidelity bank
1383,2023-05-29 21:05:43+00:00,bank  i need refund of my money you debited my account since march  your promised  time for the resolution has long elapsed,0,Fidelity Bank,charlemamaefula,0.4,-0.05,Negative,bank need refund money debited account since march promised time resolution long elapsed
1386,2023-05-29 20:42:13+00:00,these memories are what we live for  the fidelity fantasy land childrens day party was a success because of youthank you for attending see you at the next edition,8,Fidelity Bank,fidelitybankplc,0.16666666666666666,0.14545454545454545,Positive,memories live fidelity fantasy land childrens day party success youthank attending next edition
1387,2023-05-29 20:23:14+00:00,fidelity banknmesomathank you sir,1,Fidelity Bank,EzeGood51272915,0.0,0.0,Neutral,fidelity banknmesomathank sir
1388,2023-05-29 20:22:39+00:00,he dey run fidelity bank advert wan dey bobo who,0,Fidelity Bank,gboyega_adeoya,0.15000000000000002,-0.2,Negative,dey run fidelity bank advert wan dey bobo
1389,2023-05-29 20:21:47+00:00,fidelity banknmesomathank you,0,Fidelity Bank,EzeGood51272915,0.0,0.0,Neutral,fidelity banknmesomathank
1390,2023-05-29 20:06:28+00:00,fidelity bankboss thanks,0,Fidelity Bank,bisongvctr1,0.2,0.2,Positive,fidelity bankboss thanks
1392,2023-05-29 19:14:13+00:00,like keeping nigeria money in fidelity bank,1,Fidelity Bank,j_chinemerem,0.0,0.0,Neutral,like keeping nigeria money fidelity bank
1397,2023-05-29 18:07:18+00:00,fidelity bank oshiame joseph ive been following you bumper to bumper for more than  months now,0,Fidelity Bank,oshiamejoseph,0.3,0.25,Positive,fidelity bank oshiame joseph ive following bumper bumper months
1398,2023-05-29 17:38:55+00:00,fidelity bank oshiame joseph,0,Fidelity Bank,oshiamejoseph,0.0,0.0,Neutral,fidelity bank oshiame joseph
1399,2023-05-29 17:21:51+00:00,fidelity bankimowo imeplease sir helpno food and house rent is almost due,0,Fidelity Bank,RichardIme13,0.375,-0.125,Negative,fidelity bankimowo imeplease sir helpno food house rent almost due
1400,2023-05-29 17:10:16+00:00,fidelity banknjoadinma jenniferomo e con be like say i dey invisible for this giveaway my final year projects,0,Fidelity Bank,Jennifer0368,1.0,0.0,Neutral,fidelity banknjoadinma jenniferomo e con like say dey invisible giveaway final year projects
1401,2023-05-29 17:10:01+00:00,fidelity bank  please consider me sir i have been here for long  i need help to clear medical bills,0,Fidelity Bank,lindaohawuchi,0.2611111111111111,0.016666666666666673,Positive,fidelity bank please consider sir long need help clear medical bills
1404,2023-05-29 16:28:02+00:00,post on instagram or facebook using  and tag us  comment done on this post and tag  supporters to like your comment and follow usgood luck everyoneps entries with fake likescomments will be disqualified,0,Fidelity Bank,fidelitybankplc,1.0,-0.5,Negative,post instagram facebook using tag us comment done post tag supporters like comment follow usgood luck everyoneps entries fake likescomments disqualified
1405,2023-05-29 16:28:01+00:00,or join the creative showcase video contest to give them the chance to enjoy n cash rewardto participate in the video contest follow the steps below record a minute video of your child extraordinary creative skills,1,Fidelity Bank,fidelitybankplc,0.875,0.43333333333333335,Positive,join creative showcase video contest give chance enjoy n cash rewardto participate video contest follow steps record minute video child extraordinary creative skills
1406,2023-05-29 16:27:56+00:00,the creative showcase and sweeta savings challenge is still on till wednesday st may  enter the sweeta savings challenge by topping up your child sweeta account with a minimum of n to give them a chance to enjoy up to n cash reward,3,Fidelity Bank,fidelitybankplc,0.75,0.45,Positive,creative showcase sweeta savings challenge still till wednesday st may enter sweeta savings challenge topping child sweeta account minimum n give chance enjoy n cash reward
1410,2023-05-29 15:49:25+00:00,my dm is always openfidelity bank,0,Fidelity Bank,RoyalQueenDora,0.0,0.0,Neutral,dm always openfidelity bank
1411,2023-05-29 15:42:49+00:00,hello  we sincerely apologize for the inconvenience experienced kindly refer to dm for update,1,Fidelity Bank,fidelitybankplc,0.7666666666666666,0.6333333333333333,Positive,hello sincerely apologize inconvenience experienced kindly refer dm update
1412,2023-05-29 15:36:12+00:00,fidelity bank i need your help if i miss placed my mastercard dollar trip card now that am outside nigeria how can i have access to my money without the card   i have the money in my account but no card with me what i need to do,0,Fidelity Bank,charlieons,0.05,0.0,Neutral,fidelity bank need help miss placed mastercard dollar trip card outside nigeria access money without card money account card need
1416,2023-05-29 14:37:15+00:00,donefidelity banknmesoma,0,Fidelity Bank,EzeGood51272915,0.0,0.0,Neutral,donefidelity banknmesoma
1417,2023-05-29 14:35:32+00:00,did withdrawal of  naira through pos but the transaction was failed i have called customer service number for weeks now yet the money still pending why does it take fidelity bank long to revise a failed transaction,1,Fidelity Bank,NwachiobiI,0.3333333333333333,-0.35000000000000003,Negative,withdrawal naira pos transaction failed called customer service number weeks yet money still pending take fidelity bank long revise failed transaction
1419,2023-05-29 14:08:21+00:00,i want to see how fidelity bank branches nationwide will do this tomorrow,0,Fidelity Bank,demolarashid,0.0,0.0,Neutral,want fidelity bank branches nationwide tomorrow
1421,2023-05-29 13:51:59+00:00,fidelity banknmesoma,0,Fidelity Bank,EzeGood51272915,0.0,0.0,Neutral,fidelity banknmesoma
1422,2023-05-29 13:42:24+00:00,even fidelity bank and next cash and carry supermarket will hang bats portrait in their offices,0,Fidelity Bank,uy_bambale_,0.0,0.0,Neutral,even fidelity bank next cash carry supermarket hang bats portrait offices
1423,2023-05-29 13:37:48+00:00,ive been pleading with everyone who has been posting about helping people that i need to go for eye checkup yet ive not been chosen  may be you guys think some of us are fake i need help  fidelity bank oshiame joseph thank you sir,0,Fidelity Bank,oshiamejoseph,1.0,-0.5,Negative,ive pleading everyone posting helping people need eye checkup yet ive chosen may guys think us fake need help fidelity bank oshiame joseph thank sir
1424,2023-05-29 13:14:36+00:00,fidelity banki am on the queue here there must be blessings in this new era,0,Fidelity Bank,justmanbrain007,0.45454545454545453,0.13636363636363635,Positive,fidelity banki queue must blessings new era
1425,2023-05-29 13:12:01+00:00,obi fidelity bank too,1,Fidelity Bank,legendarymrtroy,0.0,0.0,Neutral,obi fidelity bank
1433,2023-05-29 10:49:42+00:00,illiteracy is a diseasehow is peter obi the owner of fidelity bankbut relax  to give you quality education to liberate you from the shackles of illiteracy bestowed upon you by the  people you wrongly and ignorantly chose and voted into power,0,Fidelity Bank,UgooAgbams,0.9,-0.5,Negative,illiteracy diseasehow peter obi owner fidelity bankbut relax give quality education liberate shackles illiteracy bestowed upon people wrongly ignorantly chose voted power
1434,2023-05-29 10:47:11+00:00,cleanest keel you there cleanest used state money to fund family fidelity bank cleanest use state fund to fund family business hero beer cleanest his money found it way to panamacleanest no salary for doctors for almost a year cleanest  what is the root of his money ode,0,Fidelity Bank,yinkausman,0.0,0.0,Neutral,cleanest keel cleanest used state money fund family fidelity bank cleanest use state fund fund family business hero beer cleanest money found way panamacleanest salary doctors almost year cleanest root money ode
1436,2023-05-29 10:41:59+00:00,we wanted the kids and their parents to make new memories and they did see more amazing photos from the fidelity childrens day party from last friday,2,Fidelity Bank,fidelitybankplc,0.4803030303030303,0.3090909090909091,Positive,wanted kids parents new memories amazing photos fidelity childrens day party last friday
1437,2023-05-29 10:41:39+00:00,let us take you back to the fidelity fantasy land and show you the exciting time we had with our sweeta kids,15,Fidelity Bank,fidelitybankplc,0.4,0.15,Positive,let us take back fidelity fantasy land show exciting time sweeta kids
1438,2023-05-29 09:47:53+00:00,who going to fidelity bank tomorrow i want make una help me check something for wall,0,Fidelity Bank,AmuzatOladimeji,0.0,0.0,Neutral,going fidelity bank tomorrow want una help check something wall
1439,2023-05-29 09:29:21+00:00,amen ooo sir no amount is small for me sirfidelity bankibina chibuike gilbertany amount i will so much appreciate sir,0,Fidelity Bank,Zany_Classic,0.30000000000000004,-0.024999999999999994,Negative,amen ooo sir amount small sirfidelity bankibina chibuike gilbertany amount much appreciate sir
1440,2023-05-29 09:25:12+00:00,fidelity bankmy final year project is hanging please,0,Fidelity Bank,Jennifer0368,1.0,0.0,Neutral,fidelity bankmy final year project hanging please
1441,2023-05-29 09:23:17+00:00,those stealing money from the coffers of government and enriching themselves should answer that question peter  obi has always maintained that he is trader and when he was governor didnt steal but saved over nbn he was the former  chairman of fidelity bank,0,Fidelity Bank,OkekePatrick,0.0,0.0,Neutral,stealing money coffers government enriching answer question peter obi always maintained trader governor didnt steal saved nbn former chairman fidelity bank
1442,2023-05-29 08:49:40+00:00,it will buy foodstuff   fidelity bank,0,Fidelity Bank,justmanbrain007,0.0,0.0,Neutral,buy foodstuff fidelity bank
1443,2023-05-29 08:38:12+00:00,thanks bossfidelity bank promise friday,1,Fidelity Bank,Promi__nence,0.2,0.2,Positive,thanks bossfidelity bank promise friday
1444,2023-05-29 08:37:42+00:00,pls sir my daughter is sick i want to get her malaria drugs pls help me sir  fidelity bank okanu o florence,0,Fidelity Bank,FlorenceOkanu,0.8571428571428571,-0.7142857142857143,Negative,pls sir daughter sick want get malaria drugs pls help sir fidelity bank okanu florence
1445,2023-05-29 08:37:21+00:00,please boss make me smile this week fidelity bank promise friday,1,Fidelity Bank,Promi__nence,0.1,0.3,Positive,please boss smile week fidelity bank promise friday
1446,2023-05-29 08:14:39+00:00,thank god you said it we support tinubu so that son of no body can also be somebody show me how many obi supporters that has become somebody from nobody just because he was whatever you call him has fidelity bank ever won best place to work award before,0,Fidelity Bank,florixini,0.4,0.75,Positive,thank god said support tinubu son body also somebody show many obi supporters become somebody nobody whatever call fidelity bank ever best place work award
1448,2023-05-29 08:09:03+00:00,fidelity bank will never hang the picture of atiku never never,0,Fidelity Bank,Otoporous,0.0,0.0,Neutral,fidelity bank never hang picture atiku never never
1450,2023-05-29 08:04:02+00:00,fidelity bank must hang the picture of tinubu,3,Fidelity Bank,TheoAbuAgada,0.0,0.0,Neutral,fidelity bank must hang picture tinubu
1451,2023-05-29 08:00:09+00:00,fidelity banklet reach me today oo,0,Fidelity Bank,justmanbrain007,0.0,0.0,Neutral,fidelity banklet reach today oo
1453,2023-05-29 07:48:05+00:00,boss have been on your timeline for the past month and also done all the needful but neva won please select your guy this morning fidelity bank oyedokun sunday,1,Fidelity Bank,Atoswhite808,0.25,-0.25,Negative,boss timeline past month also done needful neva please select guy morning fidelity bank oyedokun sunday
1454,2023-05-29 07:42:07+00:00,them no born the owner of fidelity bank well make him no hang the president portrait in his establishment,2,Fidelity Bank,ChAAley10,0.0,0.0,Neutral,born owner fidelity bank well hang president portrait establishment
1455,2023-05-29 07:36:56+00:00,oya credit me sir  fidelity bank,1,Fidelity Bank,mudiaga147,0.0,0.0,Neutral,oya credit sir fidelity bank
1456,2023-05-29 07:25:16+00:00,dem nor born fidelity bank well make dem nor hang that official portrait of pbat even hero beer sefas for next who really cares but just go chop and off,3,Fidelity Bank,MJBuchi,0.1,0.1,Positive,dem born fidelity bank well dem hang official portrait pbat even hero beer sefas next really cares chop
1457,2023-05-29 07:23:42+00:00,at  years peter obi was chairman of fidelity bank director of  other banks   what are you tinubu supporter   fool at,0,Fidelity Bank,dayosawyerr,0.375,-0.125,Negative,years peter obi chairman fidelity bank director banks tinubu supporter fool
1458,2023-05-29 07:23:06+00:00,fool fool fool ode ode ode ode ode ode the money wey he use take invest for fidelity bank ode,0,Fidelity Bank,Benjaminni4050,0.0,0.0,Neutral,fool fool fool ode ode ode ode ode ode money wey use take invest fidelity bank ode
1461,2023-05-29 07:12:04+00:00,yes establishment like next stores fidelity bank and hero beer you are absolutely right but how many are they and what kind of foolery is in that as to who and what foes that take from the fact that abat is now cinc,4,Fidelity Bank,RobinOFnaija,0.4839285714285714,0.3464285714285714,Positive,yes establishment like next stores fidelity bank hero beer absolutely right many kind foolery foes take fact abat cinc
1463,2023-05-29 06:54:13+00:00,i advice you to go to fidelity bank on wednesday and see whose portrait is on the wall,1,Fidelity Bank,BossDGreat,0.0,0.0,Neutral,advice fidelity bank wednesday whose portrait wall
1466,2023-05-29 06:05:42+00:00,fidelity bank ooo pls any lil among abeg,0,Fidelity Bank,DadiUsoko,0.0,0.0,Neutral,fidelity bank ooo pls lil among abeg
1467,2023-05-29 05:47:01+00:00,i say una weh dey support obi knows nothing about the man go and read how willie obiano came into power my bro im a trained journalist i pay attention to all these informations you dont  obiano was handpicked by obi he resigned in fidelity bank the same year,0,Fidelity Bank,Dunmininuboy,0.125,0.0,Neutral,say una weh dey support obi knows nothing man read willie obiano came power bro trained journalist pay attention informations obiano handpicked obi resigned fidelity bank year
1468,2023-05-29 05:40:25+00:00,fidelity bank lizzy oifoghe,0,Fidelity Bank,Lizzy97076934,0.0,0.0,Neutral,fidelity bank lizzy oifoghe
1470,2023-05-29 04:37:07+00:00,fidelity bank  ogbu chidimma elizabeth,0,Fidelity Bank,ChidimmaOgbu3,0.0,0.0,Neutral,fidelity bank ogbu chidimma elizabeth
1471,2023-05-29 04:36:08+00:00,fidelity bank ogbu chidimma elizabeth trying of luck  and am ur follower,0,Fidelity Bank,ChidimmaOgbu3,0.0,0.0,Neutral,fidelity bank ogbu chidimma elizabeth trying luck ur follower
1472,2023-05-29 04:32:31+00:00,fidelity bank celestine robinson i really needs this money,0,Fidelity Bank,rc795099,0.2,0.2,Positive,fidelity bank celestine robinson really needs money
1473,2023-05-29 04:00:25+00:00,nigerians asked mr peter why did you failed to conduct lg election why did you saved your state money into your own fidelity bank why did they indicted you in the panorama deal why did nnamdi kanu accused you of killing igbo youths why did you failed to pay workers salaries,17,Fidelity Bank,AbiodunAkanni9,0.5333333333333333,-0.13333333333333333,Negative,nigerians asked mr peter failed conduct lg election saved state money fidelity bank indicted panorama deal nnamdi kanu accused killing igbo youths failed pay workers salaries
1474,2023-05-29 03:58:50+00:00,this portrait cant even be hang in either fidelity bank or hero brewery dem no born una well,0,Fidelity Bank,TundeHamed4,0.0,0.0,Neutral,portrait even hang either fidelity bank hero brewery dem born una well
1475,2023-05-29 03:45:25+00:00,almost brand new kva mantrac caterpillar supersilent soundproof generatoravailabledm  price mlocation  kudirat abiola way oregun opposite fidelity bank oregun in ikeja lagos state global ventures,0,Fidelity Bank,bro_mekus,0.15151515151515152,0.04545454545454545,Positive,almost brand new kva mantrac caterpillar supersilent soundproof generatoravailabledm price mlocation kudirat abiola way oregun opposite fidelity bank oregun ikeja lagos state global ventures
1476,2023-05-29 01:38:32+00:00,nothing wrong with uba its more balance than fidelity bank,3,Fidelity Bank,kollisticar,0.7,0.0,Neutral,nothing wrong uba balance fidelity bank
1477,2023-05-29 01:07:48+00:00,from tomorrow fidelity bank will hang tinubu pics in their offices his excellency   tunde bakare,0,Fidelity Bank,RobinOFnaija,0.0,0.0,Neutral,tomorrow fidelity bank hang tinubu pics offices excellency tunde bakare
1478,2023-05-29 00:20:15+00:00,of people working in all fidelity bank in the south east are igbos  of people working in fidelity bank outside igbo land are igbos  of people working in fidelity bank in lagos are igbos  of people working in hero beer are igbos,13,Fidelity Bank,kollisticar,0.05,0.0,Neutral,people working fidelity bank south east igbos people working fidelity bank outside igbo land igbos people working fidelity bank lagos igbos people working hero beer igbos
1479,2023-05-29 00:05:38+00:00,peter obi my president was a chairman of fidelity bank at the age of  someone said tinubu was a senator at the age of  apparently both men were doing well in their zeniths how many present nigerian youths at  can boast of anything reasonable in their name,0,Fidelity Bank,Derenibennie,0.3625,0.1875,Positive,peter obi president chairman fidelity bank age someone said tinubu senator age apparently men well zeniths many present nigerian youths boast anything reasonable name
1482,2023-05-28 22:19:10+00:00,you guys are trying to be fraudulent  over  months and you have refused to refund me after i have physically and via mail made complaints you keep defaulting on the time frame  fidelity bank needs to pay me the penalty as stipulated,0,Fidelity Bank,okonkwochuma5,0.14285714285714285,0.0,Neutral,guys trying fraudulent months refused refund physically via mail made complaints keep defaulting time frame fidelity bank needs pay penalty stipulated
1485,2023-05-28 21:58:39+00:00,fidelity bankshare reach me oo,0,Fidelity Bank,justmanbrain007,0.0,0.0,Neutral,fidelity bankshare reach oo
1488,2023-05-28 20:36:07+00:00,ceremonial chairman that knew nothing about what was going on at fidelity bank,32,Fidelity Bank,adeeni4ade,0.35,0.05,Positive,ceremonial chairman knew nothing going fidelity bank
1489,2023-05-28 20:32:02+00:00,chairman of fidelity bank nigeria at age  is an insane feet,0,Fidelity Bank,black_obinna,1.0,-1.0,Negative,chairman fidelity bank nigeria age insane feet
1490,2023-05-28 20:22:00+00:00,either una like am or nothim portrait go dey fidelity bank and hero brewery una go do am with una hand without being toldsheni e ya werey abi,2,Fidelity Bank,TundeHamed4,0.0,0.0,Neutral,either una like nothim portrait dey fidelity bank hero brewery una una hand without toldsheni e ya werey abi
1491,2023-05-28 20:16:55+00:00,when did they established fidelity bank,21,Fidelity Bank,Ibrozeal21,0.0,0.0,Neutral,established fidelity bank
1495,2023-05-28 19:51:59+00:00,the anambra state money he kept at fidelity bank which he was pert of then was what,7,Fidelity Bank,Lukman46195594,0.0,0.0,Neutral,anambra state money kept fidelity bank pert
1496,2023-05-28 19:49:15+00:00,even fidelity bank will change portrait to tinubu tommorow,2,Fidelity Bank,Emperordotman,0.0,0.0,Neutral,even fidelity bank change portrait tinubu tommorow
1498,2023-05-28 19:33:33+00:00,how daft and disgraceful does it sound that a graduate doesnt know the difference between being a chairman of a bank and being the owner of a bankshow us where u saw that po owns fidelity bank or his the highest shareholder of that banklet ur education reflect in ur thinking,138,Fidelity Bank,iam_ayooyewumi,0.4,0.4,Positive,daft disgraceful sound graduate doesnt difference chairman bank owner bankshow us saw po owns fidelity bank highest shareholder banklet ur education reflect ur thinking
1500,2023-05-28 19:24:19+00:00,at  years peter obi was chairman of fidelity bank director of  other banks what are you tinubu supporter fool at,0,Fidelity Bank,OparaiheomaM,0.375,-0.125,Negative,years peter obi chairman fidelity bank director banks tinubu supporter fool
1502,2023-05-28 18:57:13+00:00,at  years peter obi was chairman of fidelity bank director of  other banks,2,Fidelity Bank,SamPresto01,0.375,-0.125,Negative,years peter obi chairman fidelity bank director banks
1503,2023-05-28 18:55:55+00:00,to rule the country he also kept state funds in his fidelity bank for yrs return the capital amp pocketed the interest invest m in intl breweries were his families had shares the share had lost  of its value as an,1,Fidelity Bank,OlawaleMorrett,0.0,0.0,Neutral,rule country also kept state funds fidelity bank yrs return capital pocketed interest invest intl breweries families shares share lost value
1507,2023-05-28 17:16:09+00:00,fidelity bank to showcase,0,Fidelity Bank,springnewsng,0.0,0.0,Neutral,fidelity bank showcase
1509,2023-05-28 15:53:28+00:00,name abiodun ogunnikaaccount number   fidelity bank thank you,1,Fidelity Bank,QueenAbiodun__,0.0,0.0,Neutral,name abiodun ogunnikaaccount number fidelity bank thank
1511,2023-05-28 15:27:24+00:00,fidelity bankkarma blessing hussaini,0,Fidelity Bank,KarmaBless98305,0.0,0.0,Neutral,fidelity bankkarma blessing hussaini
1512,2023-05-28 15:20:38+00:00,fidelity bank karma blessing hussaini,0,Fidelity Bank,KarmaBless98305,0.0,0.0,Neutral,fidelity bank karma blessing hussaini
1516,2023-05-28 14:39:09+00:00,create your own bank website design like fidelity bank,0,Fidelity Bank,spicy_kuli_kuli,1.0,0.6,Positive,create bank website design like fidelity bank
1517,2023-05-28 14:37:27+00:00,fidelity bank response to my email that i sent for the past three months now i have sent reminder tire,1,Fidelity Bank,charles36375464,0.25,-0.25,Negative,fidelity bank response email sent past three months sent reminder tire
1521,2023-05-28 14:15:06+00:00,yrs just like yesterday direct uk used hp revolve x gb ssd gb ram core i keyboard lights touchscreen bluetoothdelivery  adrs  olaayeni str beside fidelity bank computer villagelagprice  to order   thanks,1,Fidelity Bank,wusa_i,0.30000000000000004,0.15000000000000002,Positive,yrs like yesterday direct uk used hp revolve x gb ssd gb ram core keyboard lights touchscreen bluetoothdelivery adrs olaayeni str beside fidelity bank computer villagelagprice order thanks
1524,2023-05-28 14:02:32+00:00,fidelity bank rewards female customers in imo,0,Fidelity Bank,thesunnigeria,0.16666666666666666,0.0,Neutral,fidelity bank rewards female customers imo
1527,2023-05-28 13:51:40+00:00,happy sunday sir aderibigbe idowu joshua  fidelity bank,0,Fidelity Bank,joshuaidowu36_,1.0,0.8,Positive,happy sunday sir aderibigbe idowu joshua fidelity bank
1528,2023-05-28 13:50:10+00:00,aderibigbe idowu joshua  fidelity bank i want to be lucky today happy sunday,0,Fidelity Bank,joshuaidowu36_,0.9166666666666667,0.5666666666666667,Positive,aderibigbe idowu joshua fidelity bank want lucky today happy sunday
1529,2023-05-28 13:48:00+00:00,happy sunday sir let me be lucky sir aderibigbe idowu joshua  fidelity bank thanks sir,1,Fidelity Bank,joshuaidowu36_,0.6777777777777779,0.4444444444444444,Positive,happy sunday sir let lucky sir aderibigbe idowu joshua fidelity bank thanks sir
1532,2023-05-28 13:35:24+00:00,even fidelity bank and hero beer will place asiwaju picture in their office asiwaju has come to stay let olotes rest abeg,0,Fidelity Bank,DamilareEyitayo,0.0,0.0,Neutral,even fidelity bank hero beer place asiwaju picture office asiwaju come stay let olotes rest abeg
1533,2023-05-28 13:30:45+00:00,grace chioma okechukwu fidelity bank tnx and blessings,0,Fidelity Bank,Chumzzy84,0.0,0.0,Neutral,grace chioma okechukwu fidelity bank tnx blessings
1535,2023-05-28 12:47:22+00:00,fidelity bank blessing,0,Fidelity Bank,BLEXNGS,0.0,0.0,Neutral,fidelity bank blessing
1539,2023-05-28 12:17:28+00:00,hello   kindly send us a dm  as we are yet to receive your dm,0,Fidelity Bank,fidelitybankplc,0.9,0.6,Positive,hello kindly send us dm yet receive dm
1552,2023-05-28 11:30:28+00:00,fidelity bankharkings enebelijah bless  boss jotter,0,Fidelity Bank,ph_badboi007,0.0,0.0,Neutral,fidelity bankharkings enebelijah bless boss jotter
1554,2023-05-28 11:20:39+00:00,god bless you nwabueze mathewfidelity bank,0,Fidelity Bank,NzeMotors,0.0,0.0,Neutral,god bless nwabueze mathewfidelity bank
1555,2023-05-28 11:15:13+00:00,and no wonder matthew  said blessed are the merciful since they will be shown mercy  once again thanks to fidelity bank nigeria and their organization as a whole for being caring,0,Fidelity Bank,marvydollar,0.30000000000000004,0.2,Positive,wonder matthew said blessed merciful since shown mercy thanks fidelity bank nigeria organization whole caring
1557,2023-05-28 11:09:07+00:00,when you are good to people and they didnt repay you with good  a day will come when god himself will repay you for being good why did i said so  on the  august  i got a message from fidelity bank nigeria that they are willing to lend me as much as,0,Fidelity Bank,marvydollar,0.55,0.51,Positive,good people didnt repay good day come god repay good said august got message fidelity bank nigeria willing lend much
1583,2023-05-28 07:34:53+00:00,i pick number  fidelity bankeven if it k i will appreciate sir,0,Fidelity Bank,Zany_Classic,0.0,0.0,Neutral,pick number fidelity bankeven k appreciate sir
1584,2023-05-28 07:33:28+00:00,fidelity bankk is even okay for me,0,Fidelity Bank,Zany_Classic,0.5,0.5,Positive,fidelity bankk even okay
1585,2023-05-28 07:21:22+00:00,fidelity bank  bless,0,Fidelity Bank,solomondizi,0.0,0.0,Neutral,fidelity bank bless
1587,2023-05-28 06:58:08+00:00,james elumelufidelity bank good morning thank you,0,Fidelity Bank,MIE__JArt,0.6000000000000001,0.7,Positive,james elumelufidelity bank good morning thank
1593,2023-05-28 01:43:25+00:00,fidelity bankjohn wilfred,0,Fidelity Bank,Manlikepogba21,0.0,0.0,Neutral,fidelity bankjohn wilfred
1597,2023-05-27 23:34:40+00:00,fidelity bank bless,0,Fidelity Bank,solomondizi,0.0,0.0,Neutral,fidelity bank bless
1598,2023-05-27 22:46:11+00:00,fidelity bankduru eugene cmay the good lord bless u thanks i appreciate,0,Fidelity Bank,DuruEugene2,0.4,0.44999999999999996,Positive,fidelity bankduru eugene cmay good lord bless thanks appreciate
1600,2023-05-27 22:37:29+00:00,fidelity bankduru eugene cthanks just joined now,0,Fidelity Bank,DuruEugene2,0.0,0.0,Neutral,fidelity bankduru eugene cthanks joined
1601,2023-05-27 22:37:26+00:00,pls it not too smallpls read my reply na boss henry roseline onyinyechi fidelity bank,0,Fidelity Bank,roselinehenry70,0.0,0.0,Neutral,pls smallpls read reply boss henry roseline onyinyechi fidelity bank
1604,2023-05-27 22:26:07+00:00,fidelity bankduru eugene cthanks sir i appreciate,0,Fidelity Bank,DuruEugene2,0.0,0.0,Neutral,fidelity bankduru eugene cthanks sir appreciate
1605,2023-05-27 22:14:30+00:00,fidelity bankduru eugene cthanks sir,0,Fidelity Bank,DuruEugene2,0.0,0.0,Neutral,fidelity bankduru eugene cthanks sir
1606,2023-05-27 21:51:04+00:00,fidelity bank dickson i have never won giveaway before please remember me boss,1,Fidelity Bank,Oti_226,0.0,0.0,Neutral,fidelity bank dickson never giveaway please remember boss
1607,2023-05-27 21:50:37+00:00,congratulations boss fidelity bank emmanuel,2,Fidelity Bank,AlabiEm73552238,0.0,0.0,Neutral,congratulations boss fidelity bank emmanuel
1608,2023-05-27 21:49:37+00:00,nlngsciencequizpls sir i am still askin for my mom healthher kneesis bad nd we need surgery k would go a long way fidelity bank  henry roseline onyinyechi,1,Fidelity Bank,roselinehenry70,0.5333333333333333,-0.37499999999999994,Negative,nlngsciencequizpls sir still askin mom healthher kneesis bad nd need surgery k would long way fidelity bank henry roseline onyinyechi
1609,2023-05-27 20:55:03+00:00,please tell fidelity bank to answer me i need to speak to head office my account has been frozen for weeks and it my cooperate account   bank has very bad customer service and i need this rectified,1,Fidelity Bank,BasseyAdek,0.8666666666666667,-0.9099999999999998,Negative,please tell fidelity bank answer need speak head office account frozen weeks cooperate account bank bad customer service need rectified
1610,2023-05-27 20:35:04+00:00,remember broive sent numerous invoices and captions bro for my working materials  fidelity bank thank you,0,Fidelity Bank,MIE__JArt,0.5,0.0,Neutral,remember broive sent numerous invoices captions bro working materials fidelity bank thank
1611,2023-05-27 20:10:32+00:00,fidelity bank kindly approve my form a it has been under review since may st week that the application was submitted and it still has other stages to go  please,0,Fidelity Bank,iamUkoto,0.6375,0.2375,Positive,fidelity bank kindly approve form review since may st week application submitted still stages please
